idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,informational_support,emotional_support,esteem_support,tangible_support,network_support,support_needs
426572,negative test result after Laparoscopy (please answer!!!)?,"I had a laparoscopy done on October 19th. I was bleeding from that date up until the 28th of october. So i figured my period was in there with that bleeding.... However it wasn't supposed to be due until the 29th of october. However... I STILL have not gotten my period. If I started my period on the 21st like I thought, I would be late by 3 days.. I took a test, and it is negative I took two?? anyone have this after this proceedure?? 
late period, heartburn, gas, headaches, sore breast, and a little naseau (not throwing up)","I was told by the surgeon (a fertility specialist, though that's not why I had the surgery) that my periods could be a bit irregular afterwards. If you're concerned, give the surgeon a call. At the very least, there should be a nurse that you can talk to.

Good luck.","Laparoscopy, period",,,NA,,,,,,,,,However it wasn't supposed to be due until the 29th of october.,period,,,NA,NA,,,,,NA,NA,,,,,,"anyone have this after this proceedure??  late period, heartburn, gas, headaches, sore breast, and a little naseau (not throwing up)",No
2336132,Implanted Cardiac Defibrillator?,"Four years ago I had an episode where I went into V-Tac, the paramedics had to jolt me with their mobile defibrillator to get my heart back into normal rythum.
  At the hospital it was determined I needed an implanted defibrellator to controle any further problems. they also put me on the medication Amiodarone which is a antiarrithmic.
 Last year I had a episode where the unit discharged five times about one minute apart, felt like getting hit in the chest with a sledge hammer.
  After that episode I feel a bit anxious about the next time this may accour, believe me Im not looking foreward to it.
  Are there other people that feel the same, apprehensive about the next time, always on the back of your mind?
  For those on Amiodarone what side affects do you feel. I get very fatigued.","Please see the web pages for more details on ICD and Amiodarone.
One problem with an ICD is that it sometimes delivers shocks when you do not need them. Even though a shock lasts a very short time, you can usually feel it. Every shock you feel should be notified to your doctor. The settings of the ICD may need to be adjusted or your medications may need to be changed.ICD problems can sometimes be prevented by programming the device to sound an alert when there is a problem. This can be done by your electrophysiologist. If you heart your ICD alert, you should immediately call your doctor.
WARNING: In June 2005, certain ICD models and biventricular pacemaker-defibrillators were recalled by the manufacturer because of a circuitry flaw that prevents the devices from delivering therapeutic electrical shocks when needed. The problem may result in patient death. Two deaths are believed to be associated with the malfunction. Although the U.S. Food and Drug Administration did not make any specific recommendations, the agency encourages patients who may have such a device to ask their health care doctor if they should have it removed or replaced. The devices affected by this recall are:
    * PRIZM 2 DR, Model 1861, manufactured on or before April 16, 2002
    * CONTAK RENEWAL, Model H135, manufactured on or before August 26, 2004
    * CONTAK RENEWAL 2, Model H155, manufactured on or before August 26, 2004",Cardiac Defibrillator,,,NA,,,,,"After that episode I feel a bit anxious about the next time this may occour, believe me Im not looking foreward to it.",episode,,,,,,,NA,NA,,,,,NA,NA,,,,,,"Are there other people that feel the same, apprehensive about the next time, always on the back of your mind?",No
4271440,I need some advise?,"hi, i have this strep throat and tonsilitis now for a while. i am on penicillin for a couple of weeks..why is it that i have feel like there is a lump in the back of my throat when i swallow? can it be from the strep or tonsilitis or maybe acid reflux?  or maybe from the pus around the tonsils? i can swallow, but it feels like there is like something in the middle of my throat...does anyone have any idea why this is happening?  i doubt it is a throat abscess because i am on penicillin right?  thanks for your answers, i appreciate your advise.","What he/she said. Ask your doctor for advice on the right thing to do. My Mom is a nurse and I will ask her for you when she gets home! :) 
   (I'll just click """"Edit message"""" and rewrite my whole answer. She will know for sure!)

   But until then, Have a nice day and remember to drink lots of fluids to help you get better. WATER AND SPECIAL DRINKS ONLY!",strep throat and tonsilitis,,,NA,,,,,"i can swallow, but it feels like there is like something in the middle of my throat.",something in the middle of my throat,,,,,,,NA,NA,,,,,NA,NA,,,,,,does anyone have any idea why this is happening?,No
157902,How long should the swelling last on an ankle sprain?,"I sprained my ankle 5 weeks ago today pretty bad.  It was very swollen for a full week then the swelling started to go down.  Since then the swelling has not gone down much more.  I have pretty much no pain when walking, and I am walking as I was before the fall now.  I just would have thought the swelling would have gone away before now, it still looks like a small egg on the side of my ankle.  Does anyone have any suggestions as to what to do?  Or was anyone in a similiar situation?  How long did it take for your swelling to go away?  Thanks so much!!!","I don't think it is a sprain.  An X-ray may be required at that place to know whether bones have been shifted or cracked and adequate medical help must be obtained.
VR","swelling, ankle sprain",,,NA,,,,,"I just would have thought the swelling would have gone away before now, it still looks like a small egg on the side of my ankle.",small egg on the side of my ankle,,,,,,,NA,NA,,,,,NA,NA,,,,,,Does anyone have any suggestions as to what to do?,No
2842187,Question About Post Traumatic Stress Disorder.?,"I know that this is not a medical community but perhaps someone here will have information on this for me.  Opinions are also helpful.

10 years ago my b/f was in a car accident with 2 friends and he was the only survivor. Although he was not the driver in the accident he has suffered from PTSD and completely stopped driving. Since that time he has tried driving a few times but each time he tries he has so much stress that he vomits afterward (sorry for being gross) and does not look forward to trying again. 

Now he has just started an awesome job and is very excited.  We both agree that with the field he is working in it would be very good for him to be able to drive again. 

So last week he started his new job driving on his own, about 20 min. each way but is having a hard time - getting sick and stressed.

Its only been 8 days but I'm worried that this is hurting him more than helping him. Has anyone dealt with this? Do you think he might get better?  What should he do?","If you have not experienced PTSD, it's hard to explain the feeling.  If you know any older citizens who served in the Gulf War,  Vietnam War or even World War II, for instance, you can ask them about being """"shell shocked"""", or PTSD.  For some people it never goes away.  I know from experience (an almost fatal auto accident that crippled me and took my professional life away at no fault of my own) that it's still there, under the surface, after 5 years.  However, I made myself get in the car and deal with it.  I think your b/f is on the right track and I'm impressed that he's willing to face his greatest fears.  You go ahead and encourage him every way you can and let him be a man and have a full life again without being co-dependent on anyone else.  He doesn't need to be an emotional cripple. What would he do if you weren't there to drive him??  He'll be proud of himself before long.  A pat on the back goes a long way.  So he might have stressful moment or two; he can learn to deal with it and get stronger and should continue to get professional help as long as he needs it.  He probably is feeling guilty as hell because he lived; not to mention every thing else involved.  Let him go...give him a nudge and hold him when he needs it.  Encourage him to help others with this problem.  Helping is great healing therapy for him and others.  He'll be living with this for a long time.  God bless you both.",Post Traumatic Stress Disorder,,,NA,,,,,Its only been 8 days but I'm worried that this is hurting him more than helping him.,Post Traumatic Stress Disorder,,,,,,,NA,NA,,,,,NA,NA,,,,,,Has anyone dealt with this? Do you think he might get better?  What should he do?,Yes: Helping is great healing therapy for him and others.  He'll be living with this for a long time.  God bless you both.
1502483,Is this normal?,"Is this normal? The last two days I have had hard bowel movements that have caused me to bleed. I am a 25 year old female and weigh 115 pounds (and no I am not menstruating).  I usually have normal bowel movements, and I also have IBS (irritable bowel syndrome) which causes a soft stool and more frequent bowel movements than normal. I have IBS as a result of having E-coli in 2000 (the Walkerton, Ontario Canada E-coli disaster) I�m sure you heard about it on the news. The whole town had bloody diarrhea. 

Anywho, that was the last time I had blood in my stool. However, I do not think that I have E-coli right now, but because I did have it before it raises some concern. I do not believe I have e-coli because when I did have it I had horrible cramping and bloody diarrhea. Right now, the last two days I have had no cramping, my stool is hard and the blood I don�t think is actually in my stool, I think it is the direct result of my hard bowel movement. Anyways, the question that I am asking is, is this normal? Has anyone else experienced this? And what is your opinion on my condition? Is this a result of not enough exercise or something that I ate or something else? Should I be concerned?

- Worried.","Don't worry too muvh!
A friend had the same concern recently.But it's not too serious, as you said, he was told the blood was due to stressing to pass the stool.But he was advised to avoid future occurrences as it can become serious if you develop hemorrhages inside(due to the straining).
I think you should begin to drink lots of water and high fibre to prevent the problem escalating, as the doc advised him.
Good luck!",hard bowel movements,25-34 years old,Female,NA,,,,,"Right now, the last two days I have had no cramping, my stool is hard and the blood I don�t think is actually in my stool, I think it is the direct result of my hard bowel movement",hard bowel movements,,,,,,,NA,NA,,,,,NA,NA,,,,,,Has anyone else experienced this?,No
558086,Problems with Zyrtec?,"I have taken Zyrtec for over 2 years and every time I try to stop, I start having what I can only describe as invisible hives.  They feel just like hives and start first on my extremities and then gradually spread.  This happens approximately 24 hours after I stop taking them and just get progressively worse.  And about 6-8 hours after I take it again, it goes away.  I have to stop somehow because I'm off of insurance now and I'm running out.  Has anyone heard of this before?  I'm trying going down gradually, but it still itches.  Any suggestions????  Btw, benedryl (diphenhidrimine) makes me unbearably sleepy.","prednol cortisone cream is what i'd use if i started getting itchy..but being cortisone, there is only so much you can use of it so often.  you should seek an allergy specialist that you can afford, do some research online on health sites and archives-most importantly, join an allergy yahoogroup to reach a wider audience of people suffering from allergies who'd be experienced enough to guide you in different ways.  make sure you drink lots of water, do some relaxation techniques if possible-find out about EFT-and know that you're not alone.  I've been on zyrtec for almost four years and I'm having trouble getting off it too-although mine come in the form of headaches and constant sleep need along with hives.  GOOD LUCK!!!  ps It's also DEFINETLY worthwhile for you to keep a food and activity diary to try and pinpoint any new allergens that may have come up in your life.",Zyrtec,,,NA,,,,,This happens approximately 24 hours after I stop taking them and just get progressively worse.,Zyrtec,,,,,,,NA,NA,,,"I have taken Zyrtec for over 2 years and every time I try to stop, I start having what I can only describe as invisible hives",invisible hives,NA,NA,,,,,,"Has anyone heard of this before?  I'm trying going down gradually, but it still itches.  Any suggestions?",No
3786512,i have trouble trying to forget about a car crash i had a few of yrs ago and i cnt 4 get bout it wot do i do?,"i had a car crash a few years ago and i cant forget about it , i ve seen a sycyatrist once or twice but didnt really help me much. it just makes me feel sad when people talk about car accidents cus i makes me think about the one i had ..i remember a lot about the accidet  where what time it happened and when it all happened s so fast ..i was in hospital for a few days suffering with bad neckand back ache and concussion with a few cuts etc..... has anyone here ever had a car accident if yu have then please talk and tell me what happened and how you became to frgetabout it!!!! tnx to any one who write an answer xx","hi there, 

I hope i can help, i had a car crash 4 year ago, wrote off my car and the other persons car, i was driving, not my fault it takes a long time to come to terms with this kind of thing.  it is called post traumatic stress.  

A few sessions with counceling will not help, it is a long process and you need to keep going.  you can e mail me if you wish to talk about it, I am not a councelor but It may help to talk to others.

I tried to avoid the crash but could not avoid what was going to happen, luckily no one was killed just serious whiplash and a few bruises and pains.  Time heals even now I have never forgot about it but more come to accept it as unavoidable and thank the lord no one lost life that day.  I still get nervouse in traffic when I drive and it has had an impact on me as a driver but I just try to move on and it gets easier.   Fell free to mail me if you want some one to chat with it may help.  

Please consider going back to psychiatrist and give it a fair chance to work.  first few sesions is about getting to klknow you  and building up a trust with them before you will commit to talking to them I say possibly about 4 to 6 months before you feel better there.

good luck and be happy you are alive to tell the tale, many do not make it and we should all celebrate life and live each day as if it were our last because one day it will be.

god bless and dont worry it gets better in time

take care 


trisha",forget about a car crash,,,NA,it just makes me feel sad when people talk about car accidents cus i makes me think about the one i had,car accidents,,,,,,,,,,,NA,NA,,,,,NA,NA,,,,,,has anyone here ever had a car accident if yu have then please talk and tell me what happened and how you became to frgetabout it!,"Yes: good luck and be happy you are alive to tell the tale, many do not make it and we should all celebrate life and live each day as if it were our last because one day it will be.  god bless and dont worry it gets better in time  take care "
107231,concerning my daughter?,"it all started when she was 2 months pregnant. the nauseas feeling, even throwing up. But there was also excruciating pain in the stomach. it got so severe that she ended up spending most of the pregnancy in the hospitals with a demerol drip. she has been to all the hospitals in the area plus some that are 50 miles away. Given all the test that the doctors can imagine. Her veins colapsed from all the needles. no one can figure out what is going on. It has been a year and a half since she delivered a healthy little girl, but the pain and vomiting still persist. Has anyone out there ever gone through this and can you tell me what is going on. Its not her pancreas, galbladder, intestines or anything that the doctors can put a finger on.   Please help, we are desparate.","First, is your daughter taking any supplements or prescription medications - especially prescription ones?  When you are taking a prescription and complain about a possible side effect, most doctors won't believe you if your complaint is not one of those listed as a potential side effect  by the drug manufacturer.  Yet as we know, each body is different.  Therefore whatever you are experiencing could be a little known side effect.  When drug companies conduct clinical trials, they often don't report findings that are less than .5% of the test population.  If you happen to be part of that .5%, however, you know that what you experienced is very real, indeed.

I recently underwent a host of tests for recurrent nausea and vomiting.  My mother asked me about medications I was taking and  immediately homed in on one of my medications as one she had been unable to take.  Nausea and vomiting were not listed as possible side effects, but on the advice of my mother and under the care of my physician, I quit taking the medicine in question.  In only three days, the problem was resolved.

If your daughter's problem cannot be tied to a medication or supplement she is ingesting, my next question would be whether or not she has seen an allergist.  Some food allergies can cause nausea and vomiting.  Of course, there are usually accompanying symptoms like edema or rash if that it the case.

A final question would be whether your daughter has been evaluated by an endocrinologist?  I had a friend whose daughter suffered for years with a similar problem before finally being diagnosed with a digestive disorder.  She now eats five small meals daily, has eliminated certain foods from her diet completely  and limits consumption of other foods to a fraction of what she used to eat.  She has been pain and nausea -free for four or five  years.

Medicine is not an exact science.  Generally, a diagnosis is reached either by determining what is NOT going on or on the assumption if X number of people experiencing what you're experiencing have Y disease, then by default that must be what you have.  

Unfortunately, not every ailment is easily diagnosed.  Furthermore, some diseases mimic other diseases so even when you get a diagnosis it can be incorrect.

I realize it is frustrating to continue seeking medical advice, but your best line of defense it to continue to seek help until someone comes up with the right diagnosis.  And if you have not seen an allergist or an endocrinologist, by all means get your daughter to consult one.  It's her body.  She must  i n s i s t  the doctors continue to evaluate her specifics until they figure out what is wrong! 

By offering your situation in this forum, it may be someone will have experienced the same thing and with the information they provide you, you will be armed for the next trip to the doctor.  You are doing all the right things by being PROactive where your daughter's health is concerned.  Hang in there because there IS an answer.  You simply have to continue to search until you find it.","pregnancy, pain and vomiting",,,NA,,,,,"It has been a year and a half since she delivered a healthy little girl, but the pain and vomiting still persist.",pain and vomiting still persist,,,,,,,NA,NA,,,,,NA,NA,,,,,,Has anyone out there ever gone through this and can you tell me what is going on.,Yes:  You are doing all the right things by being PROactive where your daughter's health is concerned.
2023308,Question for diabetics. What do you think of this situation?,"I have recently had problems with my blood pressure going up then sometimes in the normal range. I also have had fluid retention. My feet, legs, and ankles swell also. I was given HCTZ to take for the fluid and even after I complained that my feet, legs and ankles had a burning sensation, my doctor said nothing. I went off the HCTZ on my own and the burning sensation went away. I knew it was from the med but he didn't. I have also vision changes. I told my doctor that I had some symptoms that diabetics have. I asked him if a blood test would show if I had diabetes. He said it does and then said my blood tests are fine. Then I got a letter from him telling me my glucose has improved. I was never told that my glucose was not normal. What does this letter mean? He has not asked me to make another appointment nor has he scheduled other tests for me. Has anyone with diabetes ever been diagnosed with a medical conditon other than diabestes, when the real diagnosis should have been diabetes?","First, you should change a doctor.  A good doctor should never let his patient confused like this. 

Diabetes is defined as fasting blood glucose higher than 126, twice.  So the easiest way to find out is to get a copy of your blood test result, and look at it yourself.  

Since you've stopped HCTZ, make sure you are taking something else for your blood pressure.",diabetics,,,NA,,,,,"My feet, legs, and ankles swell also. I was given HCTZ to take for the fluid and even after I complained that my feet, legs and ankles had a burning sensation, my doctor said nothing.","feet, legs and ankles had a burning sensation",,,,,,,NA,NA,,,He has not asked me to make another appointment nor has he scheduled other tests for me.,doctor,NA,NA,,,,,,"Has anyone with diabetes ever been diagnosed with a medical conditon other than diabestes, when the real diagnosis should have been diabetes?","Yes: So the easiest way to find out is to get a copy of your blood test result, and look at it yourself.  "
