,concept_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
0,Laparoscopy,2.0,1.0,,,,,,,,,1.0,
1,Period (temporal qualifier),12.0,28.0,2.0,,12.0,1.0,3.0,,,2.0,6.0,2.0
2,laparoscopy (therapeutic),2.0,1.0,,,,,,,,,1.0,
3,per period (qualifier value),12.0,28.0,2.0,,12.0,1.0,3.0,,,2.0,6.0,2.0
4,Defibrillators,1.0,,,,,,,,,,,
5,Heart,5.0,10.0,1.0,1.0,6.0,,,,,,2.0,
6,Cardiac - anatomy qualifier,2.0,,,,,,,,,,,
7,Streptococcal sore throat,3.0,2.0,1.0,,,,,,,,,1.0
8,Ankle Sprains,1.0,,,,,,,,,,,
9,Post-Traumatic Stress Disorder,5.0,9.0,3.0,,2.0,2.0,,,,,1.0,1.0
10,Defecation,2.0,2.0,,,2.0,,,,,,,
11,Hardness,1.0,9.0,3.0,,2.0,,1.0,,,2.0,1.0,
12,Zyrtec,1.0,1.0,,,1.0,,,,,,,
13,Approximate,4.0,12.0,2.0,,2.0,2.0,1.0,1.0,1.0,,1.0,2.0
14,Pain,44.0,67.0,11.0,1.0,29.0,3.0,3.0,1.0,,6.0,7.0,6.0
15,Pregnancy,46.0,35.0,5.0,,9.0,,3.0,,1.0,11.0,5.0,1.0
16,Administration Method - Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
17,Adverse Event Associated with Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
18,Feel Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
19,Frequency of Pain Question,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
20,Have Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
21,How Much Distress Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
22,Pain Distress Question,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
23,"Pain by Anatomic Descriptor, CTCAE",34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
24,"Pain, CTCAE",34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
25,Pain:-:Point in time:^Patient:-,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
26,Usual Severity Pain,34.0,49.0,8.0,1.0,19.0,3.0,3.0,1.0,,4.0,6.0,4.0
27,diabetic,8.0,12.0,4.0,,3.0,1.0,1.0,1.0,,2.0,,
28,Gallbladder,2.0,3.0,,,1.0,,,,,,1.0,1.0
29,Cholestasis,1.0,,,,,,,,,,,
30,during pregnancy,3.0,2.0,,,1.0,,,,,,,1.0
31,"Condoms, Male",1.0,2.0,,,,,1.0,,,,,1.0
32,"Condoms, Unspecified",1.0,2.0,,,,,1.0,,,,,1.0
33,Irritable Mood,1.0,1.0,,,,,,1.0,,,,
34,Irritation - emotion,3.0,3.0,1.0,,,,,1.0,,,,1.0
35,feeling run down,1.0,,,,,,,,,,,
36,Myalgia,2.0,1.0,,,,,,,,,1.0,
