,semtype_code,semtype_num,semtype_name,group_code,group_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
0,aapp,T116,"Amino Acid, Peptide, or Protein",CHEM,Chemicals & Drugs,46,108,21.0,1.0,36.0,3.0,3.0,8.0,,4.0,20.0,12.0
1,acab,T020,Acquired Abnormality,DISO,Disorders,8,12,2.0,,5.0,1.0,,,,1.0,2.0,1.0
2,acty,T052,Activity,ACTI,Activities & Behaviors,16,31,7.0,2.0,10.0,,2.0,2.0,1.0,2.0,4.0,1.0
3,aggp,T100,Age Group,LIVB,Living Beings,17,49,19.0,3.0,15.0,1.0,2.0,,,3.0,,6.0
4,anab,T190,Anatomical Abnormality,DISO,Disorders,13,10,1.0,,3.0,1.0,,,,2.0,1.0,2.0
5,anst,T017,Anatomical Structure,ANAT,Anatomy,17,41,8.0,,20.0,8.0,,4.0,,,,1.0
6,antb,T195,Antibiotic,CHEM,Chemicals & Drugs,17,24,10.0,,2.0,,,,,,1.0,11.0
7,bact,T007,Bacterium,LIVB,Living Beings,4,5,3.0,,1.0,1.0,,,,,,
8,bdsu,T031,Body Substance,ANAT,Anatomy,46,80,16.0,,33.0,4.0,3.0,7.0,,7.0,8.0,2.0
9,bdsy,T022,Body System,ANAT,Anatomy,13,25,1.0,,9.0,,,,,3.0,9.0,3.0
10,bhvr,T053,Behavior,ACTI,Activities & Behaviors,1,12,2.0,,2.0,1.0,1.0,,,3.0,2.0,1.0
11,blor,T029,Body Location or Region,ANAT,Anatomy,105,174,37.0,4.0,75.0,1.0,,13.0,,18.0,14.0,12.0
12,bmod,T091,Biomedical Occupation or Discipline,OCCU,Occupations,37,83,17.0,2.0,21.0,8.0,1.0,,,12.0,9.0,13.0
13,bodm,T122,Biomedical or Dental Material,CHEM,Chemicals & Drugs,25,67,16.0,1.0,12.0,1.0,3.0,7.0,1.0,6.0,14.0,6.0
14,bpoc,T023,"Body Part, Organ, or Organ Component",ANAT,Anatomy,230,300,35.0,2.0,123.0,9.0,8.0,14.0,2.0,41.0,44.0,22.0
15,bsoj,T030,Body Space or Junction,ANAT,Anatomy,30,25,6.0,,9.0,1.0,1.0,,,1.0,3.0,4.0
16,cgab,T019,Congenital Abnormality,DISO,Disorders,5,6,1.0,,3.0,,,,,1.0,1.0,
17,clna,T201,Clinical Attribute,PHYS,Physiology,103,176,40.0,1.0,64.0,7.0,6.0,5.0,,16.0,23.0,14.0
18,clnd,T200,Clinical Drug,CHEM,Chemicals & Drugs,1,2,,,1.0,,,,,,1.0,
19,cnce,T077,Conceptual Entity,CONC,Concepts & Ideas,31,61,19.0,1.0,18.0,1.0,2.0,3.0,2.0,2.0,9.0,4.0
20,diap,T060,Diagnostic Procedure,PROC,Procedures,24,48,5.0,,17.0,5.0,,,,7.0,11.0,3.0
21,dora,T056,Daily or Recreational Activity,ACTI,Activities & Behaviors,5,7,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0
22,dsyn,T047,Disease or Syndrome,DISO,Disorders,500,569,132.0,3.0,175.0,24.0,24.0,29.0,3.0,49.0,82.0,48.0
23,famg,T099,Family Group,LIVB,Living Beings,15,64,22.0,2.0,23.0,7.0,,3.0,1.0,2.0,,4.0
